Brand,Size,Description,units_sold,revenue,cogs,excise_tax,gross_profit,net_profit,gross_margin_pct,net_margin_pct,has_missing_cost
25588,750mL,High Valley Znfdl,3957,55406.43,80168.82,442.01,-24762.39,-25204.4,-44.69,-45.49,false
26710,750mL,Feudi Di San Gregorio Fiano,4995,26032.05,46253.7,560.92,-20221.65,-20782.57,-77.68,-79.83,false
44714,750mL,Buehler Znfdl Napa,9925,119616.75,134086.75,1108.44,-14470.0,-15578.44,-12.1,-13.02,false
33331,750mL,Moletto Prosecco Della Marc,7236,65065.64,77642.28,811.01,-12576.64,-13387.65,-19.33,-20.58,false
10666,750mL,Clayhouse Adobe Cntrl Cst Wh,5636,31188.64,43622.64,632.24,-12434.0,-13066.24,-39.87,-41.89,false
19735,750mL,Beringer Quantum Red Napa Vl,1032,31159.68,43271.76,115.61,-12112.08,-12227.69,-38.87,-39.24,false
1297,50mL,Jim Beam Black,18826,18811.74,29933.34,984.04,-11121.6,-12105.64,-59.12,-64.35,false
6881,750mL,Midnight Moon Cranberry,4311,52734.89,59750.46,3394.8,-7015.57,-10410.37,-13.3,-19.74,false
4277,375mL,Bacardi Limon Rum,11006,46397.94,51508.08,4327.14,-5110.14,-9437.28,-11.01,-20.34,false
749,750mL,Stolichnaya Hot Vodka,1625,16683.75,24602.5,1279.43,-7918.75,-9198.18,-47.46,-55.13,false
21505,750mL,Margaride's Chard Arinto,3412,23891.88,31833.96,382.12,-7942.08,-8324.2,-33.24,-34.84,false
33982,750mL,Lyeth Estate Meritage N Cst,6005,58140.95,64854.0,672.85,-6713.05,-7385.9,-11.55,-12.7,false
2277,750mL,Kilbeggan Irish Whiskey,1546,20272.54,26328.38,1217.13,-6055.84,-7272.97,-29.87,-35.88,false
5270,50mL,Southern Comfort,35269,49291.31,54666.95,1838.41,-5375.64,-7214.05,-10.91,-14.64,false
25554,750mL,Brotte Espirit CdR,5332,42674.68,48734.48,596.25,-6059.8,-6656.05,-14.2,-15.6,false
25797,750mL,GH Mumm Rose,820,24941.8,31078.0,91.84,-6136.2,-6228.04,-24.6,-24.97,false
13338,750mL,C'est La Vie Pnt Nr/Syrh VDP,3989,31896.11,37217.37,446.16,-5321.26,-5767.42,-16.68,-18.08,false
3375,750mL,Skyy Infusions Cranberry,2379,26733.21,29951.61,1874.87,-3218.4,-5093.27,-12.04,-19.05,false
814,750mL,Sammy's Beach Bar Rum,994,10306.06,14303.66,782.59,-3997.6,-4780.19,-38.79,-46.38,false
3283,750mL,New Amsterdam Apple Vodka,2131,19321.69,22141.09,1678.45,-2819.4,-4497.85,-14.59,-23.28,false
13339,750mL,C'Est La Vie Chard/Svgn Bl,3929,31434.71,35478.87,439.79,-4044.16,-4483.95,-12.87,-14.26,false
25827,750mL,Angeline Cab Svgn California,2647,18956.13,23081.84,296.87,-4125.71,-4422.58,-21.76,-23.33,false
