Brand,Description,units_sold,revenue,cogs,gross_profit,net_profit,gross_margin_pct,net_margin_pct
1771,Jack Daniels Tennessee Fire,23639,70680.61,17729.25,52951.36,51723.73,74.92,73.18
37541,Frogs Leap Cab Svgn Napa,902,47277.98,17291.34,29986.64,29886.78,63.43,63.22
22625,True Myth Cab,1858,31105.92,11501.02,19604.9,19397.94,63.03,62.36
4858,Kraken Black Spiced Rum,18351,36518.49,13029.21,23489.28,22539.31,64.32,61.72
23522,13 Celsius Svgn Bl,3137,34041.23,12893.07,21148.16,20798.61,62.13,61.1
31070,Treana Red Calif,997,29928.03,12941.06,16986.97,16876.14,56.76,56.39
5708,Dr McGillicuddy's Root Beer,60074,59473.26,22828.12,36645.14,33504.03,61.62,56.33
16380,Duboeuf Bjls Nouveau 2014,7711,84743.89,36164.59,48579.3,47712.96,57.32,56.3
8929,Sebastiani Chard Sonoma,3057,39102.43,17730.6,21371.83,21031.61,54.66,53.79
12465,Cline Cashmere Red Cal,3665,47964.35,22576.4,25387.95,24979.15,52.93,52.08
