Brand,Description,units_sold,revenue,cogs,gross_profit,net_profit,gross_margin_pct,net_margin_pct
1233,Jack Daniels No 7 Black,142049,5101919.51,3731627.23,1370292.28,1109293.08,26.86,21.74
3545,Ketel One Vodka,135838,4223107.62,2973493.82,1249613.8,1000025.97,29.59,23.68
4261,Capt Morgan Spiced Rum,200412,4475972.88,3240662.04,1235310.84,867068.04,27.6,19.37
6570,Kendall Jackson Chard Vt RSV,214238,2326007.78,1450391.26,875616.52,851532.75,37.64,36.61
3405,Tito's Handmade Vodka,160247,4819073.49,3716127.93,1102945.56,808506.9,22.89,16.78
8068,Absolut 80 Proof,187140,4538120.6,3413433.6,1124687.0,780832.93,24.78,17.21
3858,Grey Goose Vodka,141860,3383912.4,2520852.2,863060.2,751361.01,25.5,22.2
3489,Tanqueray,90481,2640491.19,1875671.13,764820.06,598575.62,28.97,22.67
2585,Jameson Irish Whiskey,91247,2148965.53,1498275.74,650689.79,578849.22,30.28,26.94
3650,Patron Silver Tequila,41639,2009508.61,1407814.59,601694.02,568910.93,29.94,28.31
